surface_m2,nb_chambres,quartier,annee_construction,garage,prix
139,5,Quartier Résidentiel,1979,1,497800
160,7,Banlieue Sud,1953,1,389400
237,9,Banlieue Sud,1989,0,718800
135,5,Quartier Résidentiel,2023,0,600200
64,2,Banlieue Nord,1970,1,201900
37,1,Banlieue Sud,2014,1,129200
107,5,Banlieue Nord,1977,0,354600
53,2,Quartier Résidentiel,2010,1,173700
71,3,Quartier Résidentiel,2003,1,273700
47,2,Banlieue Nord,2014,1,188500
256,10,Zone Industrielle,1973,1,524800
118,5,Banlieue Nord,2003,0,394300
65,3,Quartier Résidentiel,2006,1,318500
211,7,Quartier Résidentiel,1961,0,721100
218,8,Banlieue Nord,2011,1,752000
101,3,Quartier Résidentiel,1980,1,406900
367,10,Zone Industrielle,1995,0,614100
33,2,Banlieue Sud,1976,1,115400
85,2,Banlieue Sud,1977,0,235000
85,3,Banlieue Sud,1993,1,273900
56,2,Banlieue Nord,1984,1,184600
49,2,Centre-Ville,1966,1,297400
62,2,Quartier Résidentiel,1951,1,225900
70,3,Banlieue Sud,2023,1,245100
118,5,Quartier Résidentiel,1959,0,489700
101,5,Banlieue Nord,1976,0,305300
50,1,Quartier Résidentiel,2018,0,235600
63,3,Centre-Ville,2016,1,385700
176,7,Banlieue Nord,1983,1,564300
253,10,Quartier Résidentiel,1979,1,862800
36,1,Centre-Ville,1970,1,237000
154,6,Zone Industrielle,2001,0,298300
85,3,Centre-Ville,2005,1,646600
83,3,Quartier Résidentiel,2004,1,358700
114,4,Zone Industrielle,1961,1,204500
135,5,Zone Industrielle,1992,1,314200
303,10,Banlieue Nord,2005,1,1145500
92,3,Quartier Résidentiel,2021,0,390000
53,2,Banlieue Sud,1990,1,202400
105,3,Banlieue Sud,2004,1,335500
74,2,Banlieue Nord,1967,0,266500
119,5,Zone Industrielle,1971,0,189900
33,1,Banlieue Sud,1956,0,85400
36,1,Centre-Ville,2016,0,217400
82,4,Quartier Résidentiel,1975,0,319100
100,3,Banlieue Nord,1963,1,270000
78,3,Banlieue Sud,2003,1,229900
65,2,Banlieue Sud,1986,1,201500
35,1,Banlieue Sud,2023,1,120500
112,4,Banlieue Sud,1989,1,342800
83,2,Zone Industrielle,1979,1,166400
87,3,Banlieue Nord,1967,1,245000
51,2,Quartier Résidentiel,2008,1,214600
109,4,Banlieue Nord,1994,1,337500
125,4,Banlieue Sud,1965,1,356700
214,9,Banlieue Sud,1992,0,618000
80,3,Centre-Ville,1988,1,501000
66,2,Centre-Ville,2003,1,356300
58,3,Quartier Résidentiel,1951,1,242500
204,8,Banlieue Sud,1970,1,429000
97,3,Banlieue Nord,2003,0,300800
54,2,Banlieue Nord,1967,1,163800
164,6,Quartier Résidentiel,1976,1,568900
72,2,Banlieue Nord,2013,0,286100
142,6,Banlieue Nord,2023,1,394300
69,3,Quartier Résidentiel,1969,0,237300
28,1,Centre-Ville,1990,0,155700
104,4,Banlieue Sud,2000,0,308600
214,7,Quartier Résidentiel,2003,0,817200
77,2,Banlieue Nord,1980,0,216500
39,1,Banlieue Sud,1976,1,107800
62,2,Banlieue Nord,1979,0,184400
157,7,Centre-Ville,1997,1,1003900
129,5,Banlieue Nord,2016,1,406200
245,9,Quartier Résidentiel,1977,1,765300
35,1,Banlieue Sud,1962,0,79400
83,3,Quartier Résidentiel,1997,1,339100
131,5,Centre-Ville,1977,1,799300
65,3,Banlieue Sud,2003,1,209700
37,1,Centre-Ville,1967,1,226200
149,7,Quartier Résidentiel,2023,0,534900
115,4,Quartier Résidentiel,1963,0,436000
36,1,Banlieue Sud,1977,1,109900
103,5,Banlieue Sud,1956,1,293700
118,3,Centre-Ville,1987,0,677800
39,1,Centre-Ville,1987,1,244000
41,1,Centre-Ville,2011,0,247300
94,3,Banlieue Sud,2023,0,286500
66,2,Banlieue Nord,1964,1,177300
95,4,Quartier Résidentiel,1982,1,346000
75,2,Zone Industrielle,1984,0,170300
51,2,Centre-Ville,2018,1,364200
,1,Zone Industrielle,1968,1,94700
110,3,Quartier Résidentiel,2005,1,517600
140,5,Banlieue Nord,2015,0,425900
94,4,Banlieue Nord,2012,1,338700
78,3,Banlieue Nord,1979,1,239700
70,2,Centre-Ville,2011,0,419800
46,1,Banlieue Nord,1972,1,142100
39,1,Banlieue Sud,2013,0,117500
111,4,Banlieue Nord,1957,1,332500
38,1,Centre-Ville,2017,1,227100
103,4,Zone Industrielle,1971,1,189000
,4,Banlieue Nord,1978,0,314200
63,2,Banlieue Nord,1952,1,184300
24,1,Quartier Résidentiel,1985,0,94200
165,6,Banlieue Sud,1979,1,463000
186,6,Banlieue Nord,1957,0,599300
113,3,Banlieue Nord,1984,1,377500
132,6,Centre-Ville,1958,1,658100
58,2,Zone Industrielle,1985,1,129400
105,4,Banlieue Sud,2022,0,293800
106,4,Centre-Ville,1975,1,587400
112,3,Banlieue Sud,1996,1,318000
142,5,Quartier Résidentiel,1959,1,575000
107,4,Banlieue Sud,1960,1,227500
54,2,Quartier Résidentiel,1996,1,220500
60,2,Banlieue Sud,1992,0,158600
58,2,Banlieue Nord,2011,1,208100
92,3,Quartier Résidentiel,2021,0,397500
32,1,Banlieue Nord,2012,1,127000
122,5,Quartier Résidentiel,1990,1,452200
205,8,Banlieue Sud,2000,0,534800
139,5,Quartier Résidentiel,1956,1,484500
39,1,Quartier Résidentiel,2017,1,194100
143,5,Banlieue Nord,1976,1,432900
155,6,Banlieue Nord,1967,1,498900
60,2,Banlieue Nord,2000,1,225100
28,1,Banlieue Sud,1989,0,69900
55,2,Quartier Résidentiel,1977,0,203900
117,4,Quartier Résidentiel,1967,1,445600
102,4,Banlieue Sud,1996,0,274000
37,1,Quartier Résidentiel,2021,1,161500
58,2,Quartier Résidentiel,2006,1,265500
181,6,Centre-Ville,2000,1,1121500
105,3,Quartier Résidentiel,1997,1,429300
61,2,Banlieue Sud,1970,1,156900
192,7,Quartier Résidentiel,1963,0,526700
53,1,Quartier Résidentiel,1991,0,223100
88,4,Banlieue Sud,1982,1,280200
145,5,Quartier Résidentiel,1984,1,649200
113,4,Zone Industrielle,1950,1,217600
83,3,Quartier Résidentiel,2010,0,292800
237,9,Centre-Ville,1993,1,1462800
213,8,Banlieue Nord,1966,1,669800
178,6,Banlieue Nord,2010,0,503400
